time,open,high,low,close,bar_index
1673492400,16.396,16.527,16.386,16.418,267
1673496000,16.418,16.494,16.396,16.42,268
1673499600,16.419,16.448,16.207,16.221,269
1673503200,16.222,16.335,16.2,16.269,270
1673506800,16.268,16.322,16.151,16.235,271
1673510400,16.236,16.239,16.024,16.125,272
1673514000,16.127,16.165,16.054,16.103,273
1673517600,16.103,16.106,15.892,16.043,274
1673521200,16.042,16.1,15.954,16.065,275
1673524800,16.064,16.133,15.919,16.126,276
1673528400,16.127,16.498,15.4,16.343,277
1673532000,16.344,16.475,15.627,15.798,278
1673535600,15.798,16.039,15.786,15.948,279
1673539200,15.947,16.1,15.888,16.063,280
1673542800,16.063,16.617,16.033,16.593,281
1673546400,16.589,16.65,16.344,16.531,282
1673550000,16.532,16.79,16.465,16.533,283
1673553600,16.534,16.66,16.386,16.589,284
1673557200,16.587,16.636,16.358,16.444,285
1673560800,16.444,16.475,16.293,16.376,286
1673564400,16.377,16.7,16.318,16.584,287
1673568000,16.584,16.84,16.324,16.412,288
1673571600,16.412,16.536,16.237,16.418,289
1673575200,16.419,16.467,16.342,16.461,290
1673578800,16.46,16.757,16.448,16.698,291
1673582400,16.697,17.34,16.689,16.951,292
1673586000,16.952,17.049,16.75,16.798,293
1673589600,16.796,17.028,16.777,16.99,294
1673593200,16.989,17.007,16.768,16.89,295
1673596800,16.889,17.097,16.779,16.928,296
1673600400,16.927,17.073,16.871,16.923,297
1673604000,16.925,16.992,16.566,16.788,298
1673607600,16.787,16.795,16.52,16.646,299
1673611200,16.646,16.673,16.464,16.523,300
1673614800,16.524,16.65,16.478,16.534,301
1673618400,16.532,16.764,16.439,16.645,302
1673622000,16.644,16.85,16.632,16.789,303
1673625600,16.788,16.811,16.488,16.66,304
1673629200,16.661,16.952,16.628,16.869,305
1673632800,16.871,16.933,16.7,16.74,306
1673636400,16.74,17.22,16.71,17.177,307
1673640000,17.176,17.429,17.017,17.227,308
1673643600,17.227,18.499,17.057,18.294,309
1673647200,18.294,18.658,17.876,18.074,310
1673650800,18.074,18.308,18.012,18.289,311
1673654400,18.289,21.7,18.191,20.016,312
1673658000,20.017,21.15,19.853,20.915,313
1673661600,20.915,22.879,20.881,22.311,314
1673665200,22.311,22.444,21.7,21.964,315
1673668800,21.963,22.46,21.8,22.365,316
1673672400,22.364,24.6,21.864,23.799,317
1673676000,23.799,23.822,23.333,23.73,318
1673679600,23.732,24.8,23.436,23.577,319
1673683200,23.577,23.94,23.506,23.654,320
1673686800,23.65,23.752,21.71,22.621,321
1673690400,22.621,22.665,21.325,22.094,322
1673694000,22.093,22.66,21.964,22.395,323
1673697600,22.396,22.77,22.02,22.531,324
1673701200,22.533,22.877,22.169,22.528,325
1673704800,22.529,23.68,21.73,22.332,326
1673708400,22.333,22.56,22,22.337,327
1673712000,22.335,23.1,22.142,22.983,328
1673715600,22.984,23.43,22.758,22.876,329
1673719200,22.876,23.166,22.653,23.031,330
1673722800,23.031,23.366,22.974,23.073,331
1673726400,23.074,23.32,22.92,23.178,332
1673730000,23.178,23.207,22.47,22.749,333
1673733600,22.747,24.078,22.562,23.662,334
1673737200,23.663,24.848,23.657,24.283,335
1673740800,24.284,25.2,23.122,23.4,336
1673744400,23.4,23.489,22.5,23.209,337
1673748000,23.21,23.248,22.632,22.787,338
1673751600,22.787,23.2,22.597,23.09,339
1673755200,23.087,23.12,22.801,22.937,340
1673758800,22.937,23.2,22.75,23.012,341
1673762400,23.009,23.056,22.543,22.568,342
1673766000,22.569,22.705,22.14,22.657,343
1673769600,22.657,22.797,22.1,22.185,344
1673773200,22.186,22.7,22,22.684,345
1673776800,22.684,22.755,22.434,22.705,346
1673780400,22.705,23.121,22.499,22.904,347
1673784000,22.905,23.444,22.718,22.946,348
1673787600,22.945,23.82,22.89,23.226,349
1673791200,23.226,23.47,23.12,23.315,350
1673794800,23.316,23.907,23.218,23.696,351
1673798400,23.696,23.81,23.028,23.215,352
1673802000,23.215,23.811,23.15,23.315,353
1673805600,23.313,23.365,22.94,23.235,354
1673809200,23.236,23.448,23.027,23.39,355
1673812800,23.389,23.437,23.181,23.389,356
1673816400,23.391,23.403,23.112,23.349,357
1673820000,23.349,23.373,22.473,23.171,358
1673823600,23.171,23.229,22.729,22.903,359
1673827200,22.903,23.156,22.45,23.004,360
1673830800,23.003,23.648,22.947,23.31,361
1673834400,23.312,24.28,23.2,23.544,362
1673838000,23.545,23.569,23.208,23.239,363
1673841600,23.24,23.39,23.031,23.312,364
1673845200,23.312,23.59,23.227,23.539,365
1673848800,23.535,24.795,23.404,24.684,366
1673852400,24.684,25.18,24.108,24.276,367
1673856000,24.279,24.289,22.875,23.093,368
1673859600,23.094,23.46,22.986,23.389,369
1673863200,23.388,23.683,23.275,23.443,370
1673866800,23.444,23.556,23.164,23.4,371
1673870400,23.4,23.555,23.226,23.251,372
1673874000,23.251,23.543,22.941,23.249,373
1673877600,23.249,23.38,22.63,23.09,374
1673881200,23.089,23.331,22.23,23.081,375
1673884800,23.081,23.359,22.861,23.149,376
1673888400,23.149,23.369,22.965,23.311,377
1673892000,23.31,23.86,23.1,23.648,378
1673895600,23.641,23.82,23.434,23.562,379
1673899200,23.563,23.88,23.5,23.587,380
1673902800,23.59,23.716,23.303,23.665,381
1673906400,23.664,24.3,23.646,23.679,382
1673910000,23.679,23.803,23.46,23.601,383
1673913600,23.6,23.857,23.002,23.13,384
1673917200,23.13,23.248,22.77,23.19,385
1673920800,23.191,23.281,22.948,23.206,386
1673924400,23.206,23.245,23.05,23.192,387
1673928000,23.192,23.499,23.133,23.451,388
1673931600,23.451,23.83,23.45,23.566,389
1673935200,23.565,23.596,23.34,23.395,390
1673938800,23.394,23.643,23.251,23.427,391
1673942400,23.427,23.698,23.369,23.68,392
1673946000,23.675,23.794,23.466,23.643,393
1673949600,23.644,23.709,23.433,23.439,394
1673953200,23.438,24,23.41,23.758,395
1673956800,23.759,23.865,23.46,23.554,396
1673960400,23.554,23.626,23.361,23.44,397
1673964000,23.44,23.97,23.11,23.437,398
1673967600,23.438,23.616,23.116,23.267,399
1673971200,23.268,23.395,23.028,23.264,400
1673974800,23.265,23.375,23.041,23.342,401
1673978400,23.341,23.576,23.28,23.513,402
1673982000,23.514,23.568,23.373,23.441,403
1673985600,23.441,23.7,23.131,23.402,404
1673989200,23.405,23.427,23.155,23.292,405
1673992800,23.293,23.318,23.138,23.191,406
1673996400,23.19,23.363,22.66,22.855,407
1674000000,22.858,23.099,22.613,22.724,408
1674003600,22.724,23.08,22.704,23.008,409
1674007200,23.008,23.265,22.661,23.062,410
1674010800,23.061,23.339,22.988,23.054,411
1674014400,23.052,23.234,22.967,23.146,412
1674018000,23.145,23.327,23.07,23.259,413
1674021600,23.259,23.278,23.002,23.032,414
1674025200,23.033,23.094,22.85,22.989,415
1674028800,22.989,22.994,22.08,22.342,416
1674032400,22.345,22.518,22.187,22.409,417
1674036000,22.409,22.498,22.3,22.324,418
1674039600,22.326,22.731,22.3,22.533,419
1674043200,22.533,22.844,22.531,22.711,420
1674046800,22.711,23.25,22.49,23.082,421
1674050400,23.081,23.362,22.975,23.157,422
1674054000,23.159,23.674,20.645,21.781,423
1674057600,21.781,21.792,20.31,21.418,424
1674061200,21.42,22.3,21.414,21.823,425
1674064800,21.823,22.284,21.618,21.878,426
1674068400,21.879,21.996,21.75,21.781,427
1674072000,21.782,21.879,21.181,21.363,428
1674075600,21.363,21.671,21.287,21.355,429
1674079200,21.356,21.385,20.842,21.159,430
1674082800,21.158,21.337,20.7,20.804,431
1674086400,20.804,21.298,20.78,20.989,432
1674090000,20.989,21.296,20.912,21.033,433
1674093600,21.031,21.276,20.916,21.181,434
1674097200,21.182,21.536,21.165,21.35,435
1674100800,21.347,21.788,21.325,21.581,436
1674104400,21.58,21.698,21.375,21.459,437
1674108000,21.459,21.536,21.33,21.4,438
1674111600,21.401,21.47,21.264,21.306,439
1674115200,21.308,21.513,21.222,21.223,440
1674118800,21.224,21.397,21.104,21.32,441
1674122400,21.326,21.44,21.159,21.299,442
1674126000,21.299,21.311,20.792,20.939,443
1674129600,20.937,21.075,20.667,20.84,444
1674133200,20.838,20.928,20.4,20.811,445
1674136800,20.81,21.139,20.553,20.963,446
1674140400,20.963,21.186,20.868,21.053,447
1674144000,21.052,21.3,20.896,21.155,448
1674147600,21.152,21.291,20.847,20.961,449
1674151200,20.959,21.203,20.874,21.194,450
1674154800,21.194,21.743,21.117,21.638,451
1674158400,21.639,21.879,21.483,21.603,452
1674162000,21.604,21.634,21.304,21.313,453
1674165600,21.314,21.48,21.302,21.424,454
1674169200,21.424,21.5,21.32,21.408,455
1674172800,21.408,21.413,21.06,21.127,456
1674176400,21.128,21.566,21.02,21.483,457
1674180000,21.482,21.628,21.283,21.292,458
1674183600,21.291,21.383,21.248,21.334,459
1674187200,21.334,21.414,21.031,21.069,460
1674190800,21.069,21.191,20.964,21.052,461
1674194400,21.051,21.13,20.913,21.008,462
1674198000,21.008,21.195,20.941,21.07,463
1674201600,21.07,21.137,20.955,21.102,464
1674205200,21.102,21.249,20.98,21.156,465
1674208800,21.156,21.197,21,21.175,466
1674212400,21.175,21.206,21.1,21.132,467
1674216000,21.132,21.468,21.073,21.315,468
1674219600,21.314,21.436,21.211,21.256,469
1674223200,21.255,21.449,21.217,21.428,470
1674226800,21.429,21.55,21.375,21.42,471
1674230400,21.419,22.257,21.4,22.033,472
1674234000,22.033,22.587,21.954,22.497,473
1674237600,22.494,22.983,22.479,22.895,474
1674241200,22.896,23.4,22.762,23.275,475
1674244800,23.276,24.371,23.267,24.088,476
1674248400,24.089,24.545,23.597,24.276,477
1674252000,24.278,25.809,24.277,25.25,478
1674255600,25.251,25.875,25.146,25.513,479
1674259200,25.513,25.9,24.264,24.966,480
1674262800,24.965,25.069,24.626,24.887,481
1674266400,24.885,25.283,24.747,24.918,482
1674270000,24.916,24.974,24.737,24.863,483
1674273600,24.862,25.259,24.826,24.996,484
1674277200,24.997,25.046,24.722,24.79,485
1674280800,24.791,25.354,24.744,25.354,486
1674284400,25.354,25.748,25.13,25.545,487
1674288000,25.544,25.656,24.762,25.057,488
1674291600,25.055,25.5,24.896,25.433,489
1674295200,25.434,26.687,24.267,25.082,490
1674298800,25.082,25.383,24.8,25.194,491
1674302400,25.194,25.448,25.16,25.375,492
1674306000,25.374,25.639,25.04,25.288,493
1674309600,25.289,25.384,25.061,25.193,494
1674313200,25.193,25.64,25.044,25.227,495
1674316800,25.23,26.117,25.173,25.468,496
1674320400,25.47,25.699,25.112,25.399,497
1674324000,25.398,25.472,25.206,25.44,498
1674327600,25.44,25.85,25.434,25.635,499
1674331200,25.634,25.7,25.46,25.468,500
1674334800,25.467,25.65,25.382,25.601,501
1674338400,25.601,25.616,24.666,24.824,502
1674342000,24.824,25.113,24.5,24.564,503
1674345600,24.564,24.969,24.394,24.931,504
1674349200,24.931,25.329,24.692,25.17,505
1674352800,25.17,25.249,24.726,24.879,506
1674356400,24.879,25.268,24.874,25.002,507
1674360000,25.003,25.47,24.933,25.281,508
1674363600,25.282,25.45,25.082,25.163,509
1674367200,25.163,25.392,25.089,25.249,510
1674370800,25.249,25.257,25.093,25.135,511
1674374400,25.136,25.336,24.803,25.265,512
1674378000,25.266,25.271,25.005,25.067,513
1674381600,25.068,25.228,25.008,25.12,514
1674385200,25.121,25.149,24.767,24.905,515
1674388800,24.905,25.068,24.636,25.032,516
1674392400,25.032,25.198,24.965,25.092,517
1674396000,25.091,25.292,24.976,25.225,518
1674399600,25.225,25.44,24.74,24.961,519
1674403200,24.962,25.083,24.699,24.98,520
1674406800,24.98,25.285,24.9,25.177,521
1674410400,25.177,25.228,24.868,24.94,522
1674414000,24.941,25.019,24.853,24.916,523
1674417600,24.916,24.936,23.5,23.887,524
1674421200,23.889,24.289,23.683,24.214,525
1674424800,24.213,24.262,23.927,24.21,526
1674428400,24.209,24.331,24.109,24.195,527
1674432000,24.196,24.508,24.06,24.327,528
1674435600,24.326,24.698,24.323,24.458,529
1674439200,24.458,24.868,24.451,24.783,530
1674442800,24.784,24.943,24.51,24.534,531
1674446400,24.534,24.794,24.527,24.785,532
1674450000,24.787,24.81,24.453,24.507,533
1674453600,24.508,24.77,24.404,24.671,534
1674457200,24.672,24.706,24.325,24.489,535
1674460800,24.486,24.58,24.142,24.345,536
1674464400,24.345,24.567,24.312,24.539,537
1674468000,24.539,24.836,24.45,24.662,538
1674471600,24.66,24.717,24.555,24.637,539
1674475200,24.636,24.688,24.358,24.569,540
1674478800,24.57,24.688,23.9,24.143,541
1674482400,24.143,24.722,23.7,23.992,542
1674486000,23.992,24.418,23.849,24.175,543
1674489600,24.175,24.4,24.057,24.387,544
1674493200,24.388,24.699,24.179,24.686,545
1674496800,24.685,24.78,24.4,24.473,546
1674500400,24.473,24.526,23.962,24.183,547
